iter	Passed	Remaining
455	872	1041
456	874	1038
457	875	1036
458	877	1033
459	878	1031
460	881	1030
461	882	1027
462	883	1025
463	885	1022
464	886	1019
465	887	1017
466	888	1014
467	890	1011
468	891	1009
469	892	1006
470	895	1006
471	897	1003
472	899	1001
473	900	999
474	902	997
475	903	995
476	905	992
477	907	990
478	908	988
479	911	987
480	913	985
481	916	984
482	917	981
483	918	979
484	920	977
485	921	974
486	923	972
487	924	970
488	926	968
489	927	965
490	929	963
491	930	960
492	931	958
493	932	955
494	934	953
495	935	950
496	936	947
497	938	945
498	940	944
499	942	942
500	943	939
501	944	937
502	945	934
503	947	932
504	948	929
505	949	927
506	950	924
507	952	922
508	953	919
509	956	918
510	957	916
511	959	914
512	960	911
513	961	909
514	963	907
515	964	904
516	966	902
517	967	900
518	968	897
519	971	896
520	972	894
521	974	891
522	975	889
523	976	886
524	977	884
525	979	882
526	980	879
527	981	877
528	982	875
529	984	872
530	986	871
531	987	868
532	988	866
533	990	864
534	991	861
535	992	859
536	993	857
537	995	854
538	996	852
539	997	849
540	999	847
541	1001	846
542	1002	844
543	1004	841
544	1005	839
545	1006	836
546	1008	834
547	1009	832
548	1010	830
549	1012	828
550	1013	825
551	1016	824
552	1017	822
553	1019	820
554	1020	818
555	1021	816
556	1023	813
557	1025	812
558	1026	809
559	1027	807
560	1029	805
561	1032	804
562	1033	802
563	1035	800
564	1036	798
565	1037	795
566	1039	793
567	1040	791
568	1041	788
569	1043	786
570	1046	785
571	1048	784
572	1049	782
573	1051	780
574	1052	778
575	1054	776
576	1055	773
577	1056	771
578	1058	769
579	1061	768
580	1063	766
581	1064	764
582	1065	762
583	1067	760
584	1068	757
585	1069	755
586	1070	753
587	1071	750
588	1073	748
589	1075	747
590	1077	745
591	1079	743
592	1080	741
593	1081	739
594	1083	737
595	1084	735
596	1085	732
597	1086	730
598	1088	728
599	1090	727
600	1093	725
601	1094	723
602	1095	721
603	1096	719
604	1098	716
605	1099	714
606	1100	712
607	1101	710
608	1102	708
609	1104	706
610	1107	704
611	1108	702
612	1109	700
613	1111	698
614	1112	696
615	1113	694
616	1115	692
617	1116	689
618	1117	687
619	1118	685
620	1121	684
621	1123	682
622	1124	680
623	1125	678
624	1127	676
625	1128	674
626	1129	671
627	1130	669
628	1131	667
629	1133	665
630	1135	664
631	1138	662
632	1139	660
633	1140	658
634	1142	656
635	1143	654
636	1144	652
637	1145	650
638	1147	648
639	1148	646
640	1151	644
641	1153	643
642	1154	641
643	1156	639
644	1157	637
645	1158	635
646	1160	632
647	1161	630
648	1162	628
649	1164	627
650	1167	626
651	1169	624
652	1170	622
653	1172	620
654	1173	618
655	1174	615
656	1175	613
657	1177	611
658	1178	609
659	1181	608
660	1182	606
661	1184	604
662	1185	602
663	1186	600
664	1187	598
665	1189	596
666	1190	594
667	1191	592
668	1192	590
669	1195	588
670	1197	587
671	1198	585
672	1199	583
673	1201	580
674	1202	578
675	1203	576
676	1204	574
677	1206	572
678	1207	570
679	1210	569
680	1212	567
681	1213	565
682	1214	563
683	1215	561
684	1217	559
685	1218	557
686	1219	555
687	1220	553
688	1222	551
689	1224	549
690	1226	548
691	1227	546
692	1229	544
693	1230	542
694	1231	540
695	1232	538
696	1234	536
697	1235	534
698	1236	532
699	1238	530
700	1240	529
701	1242	527
702	1243	525
703	1245	523
704	1246	521
705	1247	519
706	1249	517
707	1250	515
708	1252	513
709	1255	512
710	1256	510
711	1257	508
712	1259	506
713	1260	504
714	1261	502
715	1263	500
716	1264	499
717	1265	497
718	1266	495
719	1270	493
720	1271	492
721	1272	490
722	1274	488
723	1275	486
724	1276	484
725	1277	482
726	1279	480
727	1280	478
728	1281	476
729	1285	475
730	1286	473
731	1287	471
732	1288	469
733	1290	467
734	1291	465
735	1292	463
736	1294	461
737	1295	460
738	1297	458
739	1300	456
740	1301	454
741	1302	452
742	1303	451
743	1305	449
744	1306	447
745	1307	445
746	1308	443
747	1310	441
748	1311	439
749	1314	438
750	1315	436
751	1317	434
752	1318	432
753	1319	430
754	1321	428
755	1322	426
756	1323	424
757	1324	422
758	1326	421
759	1330	420
760	1331	418
761	1332	416
762	1333	414
763	1334	412
764	1336	410
765	1337	408
766	1338	406
767	1339	404
768	1341	402
769	1344	401
770	1346	399
771	1347	397
772	1348	396
773	1350	394
774	1351	392
775	1353	390
776	1354	388
777	1355	386
778	1358	385
779	1360	383
780	1362	381
781	1363	380
782	1364	378
783	1365	376
784	1367	374
785	1368	372
786	1369	370
787	1370	368
788	1373	367
789	1375	365
790	1377	363
791	1378	362
792	1379	360
793	1380	358
794	1382	356
795	1383	354
796	1384	352
797	1386	350
798	1388	349
799	1390	347
800	1391	345
801	1393	343
802	1394	342
803	1395	340
804	1396	338
805	1397	336
806	1399	334
807	1400	332
808	1401	330
809	1405	329
810	1406	327
811	1407	325
812	1408	324
813	1410	322
814	1411	320
815	1412	318
816	1413	316
817	1414	314
818	1416	313
819	1420	311
820	1422	310
821	1423	308
822	1424	306
823	1426	304
824	1427	302
825	1428	300
826	1429	299
827	1431	297
828	1433	295
829	1436	294
830	1437	292
831	1438	290
832	1440	288
833	1441	286
834	1443	285
835	1444	283
836	1445	281
837	1447	279
838	1450	278
839	1451	276
840	1452	274
841	1453	272
842	1455	271
843	1456	269
844	1457	267
845	1458	265
846	1460	263
847	1461	261
848	1465	260
849	1466	258
850	1468	257
851	1469	255
852	1470	253
853	1471	251
854	1473	249
855	1474	248
856	1475	246
857	1478	244
858	1480	243
859	1481	241
860	1482	239
861	1484	237
862	1485	235
863	1486	234
864	1487	232
865	1489	230
866	1490	228
867	1491	226
868	1494	225
869	1496	223
870	1497	221
871	1498	220
872	1499	218
873	1501	216
874	1502	214
875	1503	212
876	1504	211
877	1506	209
878	1509	207
879	1510	206
880	1512	204
881	1513	202
882	1514	200
883	1515	198
884	1516	197
885	1518	195
886	1519	193
887	1521	191
888	1523	190
889	1524	188
890	1526	186
891	1527	184
892	1528	183
893	1530	181
894	1531	179
895	1533	177
896	1535	176
897	1537	174
898	1539	172
899	1540	171
900	1541	169
901	1542	167
902	1544	165
903	1545	164
904	1546	162
905	1547	160
906	1549	158
907	1552	157
908	1553	155
909	1554	153
910	1556	152
911	1557	150
912	1558	148
913	1559	146
914	1561	145
915	1562	143
916	1563	141
917	1566	139
918	1568	138
919	1569	136
920	1570	134
921	1571	132
922	1573	131
923	1574	129
924	1575	127
925	1576	126
926	1578	124
927	1580	122
928	1583	120
929	1584	119
930	1585	117
931	1586	115
932	1588	114
933	1589	112
934	1591	110
935	1592	108
936	1593	107
937	1596	105
938	1598	103
939	1599	102
940	1600	100
941	1602	98
942	1603	96
943	1604	95
944	1605	93
945	1606	91
946	1608	90
947	1611	88
948	1613	86
949	1614	84
950	1615	83
951	1617	81
952	1618	79
953	1619	78
954	1621	76
955	1622	74
956	1623	72
957	1626	71
958	1628	69
959	1629	67
960	1631	66
961	1632	64
962	1633	62
963	1635	61
964	1636	59
965	1637	57
966	1641	56
967	1642	54
968	1643	52
969	1645	50
970	1646	49
971	1648	47
972	1649	45
973	1650	44
974	1652	42
975	1653	40
976	1656	39
977	1658	37
978	1659	35
979	1660	33
980	1662	32
981	1663	30
982	1664	28
983	1665	27
984	1667	25
985	1668	23
986	1671	22
987	1672	20
988	1674	18
989	1675	16
990	1676	15
991	1677	13
992	1679	11
993	1680	10
994	1681	8
995	1682	6
996	1685	5
997	1687	3
998	1689	1
999	1690	0
